srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
59.166.0.0,62613,0,15816,0,0,0.00178,520,304,31,29,0,0,0,1752809.0,1024719.063,4,4,0,0,0,0,130,76,0,0,0.66468,0.292512,1421952337,1421952337,0.474,0.212333,0.0,0.0,0.0,0,0,0,0,0,5,5,4,4,1,1,2,0
59.166.0.8,28607,0,53,0,0,0.000987,146,178,31,29,0,0,1,591692.0,721377.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953179,1421953179,0.001,0.009,0.0,0.0,0.0,0,0,0,0,0,4,3,4,2,1,1,1,0
59.166.0.5,44569,1,53,0,0,0.000993,146,178,31,29,0,0,1,588116.8125,717019.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421941343,1421941343,0.001,0.006,0.0,0.0,0.0,0,0,0,0,0,1,4,2,1,1,1,1,0
59.166.0.0,18652,2,39373,0,0,0.001792,528,304,31,29,0,0,0,1767857.125,1017857.125,4,4,0,0,0,0,132,76,0,0,0.635454,0.325278,1421936280,1421936280,0.455333,0.235,0.0,0.0,0.0,0,0,0,0,0,3,8,5,3,1,1,3,0
59.166.0.9,20935,3,53,0,0,0.000995,130,162,31,29,0,0,1,522613.0625,651256.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421930672,1421930672,0.002,0.006,0.0,0.0,0.0,0,0,0,0,0,1,1,5,3,1,1,1,0
59.166.0.5,62721,4,7226,1,1,0.2253,8928,320,31,29,4,1,2,294398.5938,9480.692383,14,6,255,255,96191471,407586797,638,53,0,0,1596.625791,68.279484,1421941152,1421941152,17.33077,44.919,0.000782,0.000585,0.000197,0,0,0,0,0,1,1,3,4,1,1,2,0
59.166.0.9,8772,0,45305,1,1,0.385252,4976,3080,31,29,7,7,0,99654.25,61840.04297,28,30,255,255,1328454895,1331575527,178,103,0,0,824.292538,21.213361,1421953688,1421953688,14.256482,13.266379,0.000643,0.000523,0.00012,0,0,0,0,0,7,14,5,5,1,1,3,0
59.166.0.4,51805,5,80,1,1,1.132731,1684,10168,31,29,3,5,3,11045.87109,67828.99219,14,18,255,255,2998595561,850119678,120,565,1,3924,8834.548589,7735.6618,1421943959,1421943960,87.104844,66.597647,0.000721,0.000563,0.000158,0,0,1,0,0,1,1,2,4,1,1,1,0
59.166.0.0,47628,6,53915,1,1,0.050797,2542,23508,31,29,7,14,0,390416.75,3614229.25,40,42,255,255,2015854573,4267824734,64,560,0,0,0.0,74.834585,1421929591,1421929591,1.292308,1.224829,0.000729,0.000575,0.000154,0,0,0,0,0,12,12,4,2,1,1,1,0
59.166.0.9,10607,0,53,0,0,0.00105,146,178,31,29,0,0,1,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421935508,1421935508,0.011,0.006,0.0,0.0,0.0,0,0,0,0,0,4,3,3,4,3,1,1,0
