device_name,source_ip,avg_bytes_sent,avg_bytes_received,avg_packets_transferred,avg_flow_duration,recent_tcp_flags,recent_protocol,avg_cpu_usage,avg_memory_usage,avg_disk_usage,avg_uptime
Device-1,192.168.0.0,79213,1244.5,80,1779,ACK,TCP,31.305,75.31,53.82,110
Device-2,192.168.0.1,9996.5,4378.5,30,4859,ACK,TCP,38.269999999999996,50.099999999999994,52.135000000000005,413
Device-11,192.168.0.10,56143.5,5379.5,45,4372,ACK,TCP,33.53,70.83500000000001,58.625,329
Device-101,192.168.0.100,31427,5538.5,58,118,ACK,TCP,33.765,41.1,40.495000000000005,304
Device-102,192.168.0.101,46493.5,7724.5,25,695,ACK,TCP,26.64,28.11,54.985,162
Device-103,192.168.0.102,18347.5,8161,7,4215,ACK,TCP,24.349999999999998,39.224999999999994,44.665,209
Device-104,192.168.0.103,49832.5,6005.5,32,2592,ACK,TCP,20.55,71.02,41.78,172
Device-105,192.168.0.104,46838.5,7966,47,1737,ACK,TCP,44.625,51.48,63.44500000000001,479
Device-106,192.168.0.105,63680.5,5721.5,15,4571,ACK,TCP,59.56,52.125,46.64,143
Device-107,192.168.0.106,55190,6738.5,44,1873,ACK,TCP,23.835,57.81,61.269999999999996,357
Device-108,192.168.0.107,65651.5,5141,90,1387,ACK,TCP,39.635,51.36,55.33,114
Device-109,192.168.0.108,16760.5,5599.5,27,825,ACK,TCP,22.865,57.81,35.055,398
Device-110,192.168.0.109,31289,4002.5,89,4903,ACK,TCP,44.09,49.065,49.225,129
Device-12,192.168.0.11,21434,6085,16,1292,ACK,TCP,54.120000000000005,50.894999999999996,39.655,351
Device-111,192.168.0.110,38429.5,3010,67,4341,ACK,TCP,29.130000000000003,70.935,53.629999999999995,149
Device-112,192.168.0.111,86510,3144.5,81,4296,ACK,TCP,29.75,56.72,50.54,192
Device-113,192.168.0.112,39226.5,5210.5,92,2953,ACK,TCP,37.075,37.400000000000006,53.555,499
Device-114,192.168.0.113,61179.5,7523,99,113,ACK,TCP,38.105000000000004,54.515,50.31,250
Device-115,192.168.0.114,62875,6248.5,95,916,ACK,TCP,48.155,50.84,55.71,493
Device-116,192.168.0.115,32187.5,2848.5,71,833,ACK,TCP,28.590000000000003,40.11,55.56,183
Device-117,192.168.0.116,60481.5,4860.5,62,2825,ACK,TCP,35.93,47.905,68.445,212
Device-118,192.168.0.117,31164.5,6452.5,14,345,ACK,TCP,23.035,53.955,55.114999999999995,329
Device-119,192.168.0.118,6027,5030,56,2181,ACK,TCP,30.685000000000002,59.83,45.22,194
Device-120,192.168.0.119,46128.5,7038.5,98,2791,ACK,TCP,34.42,39.145,48.22,457
Device-13,192.168.0.12,54968.5,8191.5,29,2872,ACK,TCP,28.595,49.445,47.45,275
Device-121,192.168.0.120,27785,5257.5,13,1022,ACK,TCP,21.965,49.099999999999994,62.17,203
Device-122,192.168.0.121,35592.5,6392,62,804,ACK,TCP,55.815,68.205,41.510000000000005,362
Device-123,192.168.0.122,47145,4041,60,1953,ACK,TCP,48.614999999999995,65.885,59.415,242
Device-124,192.168.0.123,41651.5,5640,29,3032,ACK,TCP,44.92,67.345,39.715,224
Device-125,192.168.0.124,27414.5,2066.5,78,2625,ACK,TCP,21.34,50.545,53.545,244
Device-126,192.168.0.125,81542,3731,58,4292,ACK,TCP,47.84,24.73,51.46,472
Device-127,192.168.0.126,49827.5,6431,96,2850,ACK,TCP,45.07,61.385000000000005,42.375,289
Device-128,192.168.0.127,55408.5,5388,59,1867,ACK,TCP,31.225,34.32,48.864999999999995,359
Device-129,192.168.0.128,46345,4197.5,82,1113,ACK,TCP,23.259999999999998,52.435,62.85,182
Device-130,192.168.0.129,23812.5,3926,21,184,ACK,TCP,47.980000000000004,44.95,47.265,210
Device-14,192.168.0.13,35573.5,4645.5,39,3262,ACK,TCP,32.035,48.58,38.760000000000005,227
Device-131,192.168.0.130,56532,6709,48,2940,ACK,TCP,17.634999999999998,43.795,48.53,198
Device-132,192.168.0.131,74806,3897.5,5,2825,ACK,TCP,34.86,60.2,56.245000000000005,444
Device-133,192.168.0.132,46197,5237,68,1871,ACK,TCP,32.22,26.395,59.995000000000005,203
Device-134,192.168.0.133,61197.5,6636,14,243,ACK,TCP,53.82,45.879999999999995,41.835,205
Device-135,192.168.0.134,77087,2752.5,72,3931,ACK,TCP,33.08,24.11,60.69,326
Device-136,192.168.0.135,61809,7466.5,27,3660,ACK,TCP,17.395,34.7,48.95,388
Device-137,192.168.0.136,62437.5,4063.5,92,3920,ACK,TCP,54.59,70.065,36.36,259
Device-138,192.168.0.137,55570,6063.5,14,2354,ACK,TCP,17.240000000000002,42.605000000000004,49.305,119
Device-139,192.168.0.138,38015.5,6694,31,47,ACK,TCP,40.635,45.510000000000005,40.9,328
Device-140,192.168.0.139,61049,5335,65,1887,ACK,TCP,29.79,33.635,50.16,459
Device-15,192.168.0.14,63901,6364.5,74,2251,ACK,TCP,53.165000000000006,48.73,53.22,339
Device-141,192.168.0.140,48729,1890.5,4,1912,ACK,TCP,39.495000000000005,42.68,54.025,222
Device-142,192.168.0.141,50608.5,4448.5,32,3660,ACK,TCP,41.445,51.955,40.6,454
Device-143,192.168.0.142,9112.5,3517,54,1434,ACK,TCP,19.28,56.22,52.015,381
Device-144,192.168.0.143,88620,5215,75,4514,ACK,TCP,45.25,53.47,51.28,440
Device-145,192.168.0.144,27333,5385.5,69,442,ACK,TCP,36.37,64.39500000000001,52.815,394
Device-146,192.168.0.145,49588.5,6532.5,36,279,ACK,TCP,22.82,62.74,42.64,480
Device-147,192.168.0.146,42641.5,6461,60,2640,ACK,TCP,20.42,59.91,36.26,417
Device-148,192.168.0.147,73664,6040,37,3483,ACK,TCP,33.695,35.95,57.61,151
Device-149,192.168.0.148,79224.5,7080.5,87,843,ACK,TCP,43.525,65.91,66.345,323
Device-150,192.168.0.149,61105.5,6099.5,3,3385,ACK,TCP,33.900000000000006,42.53,52.879999999999995,325
Device-16,192.168.0.15,15744.5,6639.5,100,3679,ACK,TCP,30.675,63.045,54.79,174
Device-151,192.168.0.150,69905,6071,20,2977,ACK,TCP,27.965,42.239999999999995,42.165,340
Device-152,192.168.0.151,90553.5,5217.5,28,4901,ACK,TCP,27.96,60.42,50.035,459
Device-153,192.168.0.152,81209,6677,71,874,ACK,TCP,38.78,49.355000000000004,65.11,242
Device-154,192.168.0.153,71499.5,4858,64,459,ACK,TCP,22.18,27.685000000000002,45.725,246
Device-155,192.168.0.154,88693,1031,79,313,ACK,TCP,32.97,54.465,54.995000000000005,232
Device-156,192.168.0.155,78302.5,3963.5,87,1399,ACK,TCP,31.98,49.165,37.975,473
Device-157,192.168.0.156,50786.5,2556.5,73,1126,ACK,TCP,37.42,71.845,38.46,229
Device-158,192.168.0.157,64276.5,4010,84,408,ACK,TCP,19.67,65.345,58.51,277
Device-159,192.168.0.158,5314.5,5068,100,4315,ACK,TCP,26.549999999999997,41.370000000000005,52.58,294
Device-160,192.168.0.159,31740.5,4312.5,21,1762,ACK,TCP,39.08,67.775,48.56,468
Device-17,192.168.0.16,54762,993,10,4286,ACK,TCP,48.019999999999996,29.615000000000002,38.195,232
Device-161,192.168.0.160,30214.5,3690,6,2608,ACK,TCP,27.855,47.864999999999995,44.67,454
Device-162,192.168.0.161,11527.5,5464,81,4275,ACK,TCP,20.6,47.120000000000005,46.64,469
Device-163,192.168.0.162,39271.5,1442.5,85,2702,ACK,TCP,46.040000000000006,62.465,66.2,466
Device-164,192.168.0.163,37318,4202.5,77,4988,ACK,TCP,27.935,42.42,52.019999999999996,372
Device-165,192.168.0.164,67139,4209,62,86,ACK,TCP,37.92,49.56,30.265,418
Device-166,192.168.0.165,53908,2629,11,3113,ACK,TCP,25.38,75.19,33.595,353
Device-167,192.168.0.166,36404.5,8066.5,50,2069,ACK,TCP,34.845,63.6,48.085,381
Device-168,192.168.0.167,48041.5,2557,95,381,ACK,TCP,46.629999999999995,32.29,52.400000000000006,293
Device-169,192.168.0.168,81411.5,1638,61,2567,ACK,TCP,54.325,39.8,46.135000000000005,340
Device-170,192.168.0.169,33983,7850.5,66,581,ACK,TCP,25.27,44.775,47.545,414
Device-18,192.168.0.17,11016.5,4713,75,2396,ACK,TCP,45.93,44.349999999999994,55.83,374
Device-171,192.168.0.170,28797.5,4277.5,44,3201,ACK,TCP,36.46,70.38,63.400000000000006,398
Device-172,192.168.0.171,49622,4713.5,99,3945,ACK,TCP,40.075,49.435,45.815,305
Device-173,192.168.0.172,40131,1549.5,69,230,ACK,TCP,28.47,40.235,50.985,154
Device-174,192.168.0.173,27351.5,3796.5,22,4293,ACK,TCP,21.18,42.964999999999996,48.07,247
Device-175,192.168.0.174,41849.5,8510,78,1494,ACK,TCP,47.78,51.72,47.045,140
Device-176,192.168.0.175,9974.5,5226.5,58,3724,ACK,TCP,27.53,28.365000000000002,47.39,345
Device-177,192.168.0.176,53518,6515.5,56,1383,ACK,TCP,48.825,63.17,45.980000000000004,403
Device-178,192.168.0.177,31986,7193.5,10,183,ACK,TCP,18.645,61.075,47.86,214
Device-179,192.168.0.178,61395.5,5540,10,3926,ACK,TCP,52.974999999999994,61.239999999999995,54.65,266
Device-180,192.168.0.179,37734.5,4221,35,4811,ACK,TCP,46.945,62.78,34.765,167
Device-19,192.168.0.18,46770,2575,32,2028,ACK,TCP,35.325,52.5,54.215,247
Device-181,192.168.0.180,48047.5,5436.5,26,4787,ACK,TCP,33.095,39.195,37.585,389
Device-182,192.168.0.181,78044,5718.5,76,570,ACK,TCP,18.935000000000002,35.43,49.06,212
Device-183,192.168.0.182,36332,3838,36,3581,ACK,TCP,42.235,29.985,58.155,339
Device-184,192.168.0.183,76252.5,6946,84,1560,ACK,TCP,43.394999999999996,39.055,63.915000000000006,299
Device-185,192.168.0.184,77908.5,7679.5,46,2527,ACK,TCP,36.95,49.95,53.74,323
Device-186,192.168.0.185,26390,7896,72,484,ACK,TCP,23.185000000000002,48.455,66.67,122
Device-187,192.168.0.186,27368.5,6560.5,11,4050,ACK,TCP,20.605,52.68,34.275,179
Device-188,192.168.0.187,47194,7238.5,2,982,ACK,TCP,39.885000000000005,24.615000000000002,56.405,475
Device-189,192.168.0.188,44183,5851.5,58,2091,ACK,TCP,40.84,75.88499999999999,44.004999999999995,470
Device-190,192.168.0.189,46888.5,8711.5,70,2225,ACK,TCP,48.315,41.67,50.175,482
Device-20,192.168.0.19,56298.5,4397.5,88,2015,ACK,TCP,49.135,52.39,50.94,396
Device-191,192.168.0.190,56497,5163.5,75,2111,ACK,TCP,42.29,44.955,61.95,172
Device-192,192.168.0.191,37295,3867,23,1784,ACK,TCP,40.355000000000004,46.365,43.989999999999995,330
Device-193,192.168.0.192,49239.5,4660.5,59,3876,ACK,TCP,27.465,59.06,39.495000000000005,390
Device-194,192.168.0.193,49253,6480.5,55,4164,ACK,TCP,29.28,42.08,50.825,436
Device-195,192.168.0.194,70291.5,4009.5,94,3430,ACK,TCP,43.735,43.19,57.709999999999994,241
Device-196,192.168.0.195,44001,7347,15,1796,ACK,TCP,24.130000000000003,32.355000000000004,44.935,306
Device-197,192.168.0.196,67391,4717.5,6,677,ACK,TCP,38.41,60.105,46.18,195
Device-198,192.168.0.197,65875,3193,15,1012,ACK,TCP,25.299999999999997,59.1,45.985,326
Device-199,192.168.0.198,59372.5,6310,45,3055,ACK,TCP,47.71,56.745000000000005,61.79,197
Device-200,192.168.0.199,74193,4709,34,4867,ACK,TCP,31.43,61.57,53.75,229
Device-3,192.168.0.2,68094.5,8290.5,67,926,ACK,TCP,51.03,32.23,40.004999999999995,220
Device-21,192.168.0.20,52942,5622,11,1355,ACK,TCP,25.924999999999997,49.595,56.995,449
Device-201,192.168.0.200,54596,7908.5,4,4118,ACK,TCP,29.405,63.379999999999995,30.895,392
Device-202,192.168.0.201,36790,5105,57,2693,ACK,TCP,32.42,48.205,49.269999999999996,162
Device-203,192.168.0.202,80681.5,6650,61,4897,ACK,TCP,23.795,43.269999999999996,48.81,135
Device-204,192.168.0.203,72570,6709,26,1162,ACK,TCP,57.55,41.615,56.400000000000006,267
Device-205,192.168.0.204,57638,4335,61,390,ACK,TCP,20.93,42.955,57.405,164
Device-206,192.168.0.205,37384.5,6629,26,4268,ACK,TCP,28.045,50.965,45.345,429
Device-207,192.168.0.206,46377,1363.5,90,2038,ACK,TCP,36.275,50.330000000000005,42.91,404
Device-208,192.168.0.207,71619,5811,8,2828,ACK,TCP,33.66,30.73,52.865,221
Device-209,192.168.0.208,40258.5,4252.5,19,2531,ACK,TCP,39.114999999999995,65.55,45.325,197
Device-210,192.168.0.209,45385.5,4673,44,4330,ACK,TCP,48.035,44.894999999999996,48.870000000000005,381
Device-22,192.168.0.21,84902.5,4308,44,3317,ACK,TCP,41.86,36.725,38.58,309
Device-211,192.168.0.210,71800,6521.5,100,841,ACK,TCP,36.015,72.78,40.41,205
Device-212,192.168.0.211,62568.5,8875,34,3457,ACK,TCP,32.975,57.17,67.73,344
Device-213,192.168.0.212,27554,4697.5,47,592,ACK,TCP,50.035,44.78,50.955,178
Device-214,192.168.0.213,57723,5909,73,2139,ACK,TCP,39.445,60,43.99,450
Device-215,192.168.0.214,66181.5,7678.5,19,2279,ACK,TCP,39.955,50.42,40.585,327
Device-216,192.168.0.215,71771.5,5388.5,50,518,ACK,TCP,49.12,56.155,40.86,366
Device-217,192.168.0.216,46430,6905.5,45,1112,ACK,TCP,26.905,58.864999999999995,52.43,156
Device-218,192.168.0.217,62795,7285,18,3764,ACK,TCP,37.935,47.545,47.2,224
Device-219,192.168.0.218,61957.5,4348,83,1849,ACK,TCP,33.48,36.045,43.965,389
Device-220,192.168.0.219,97446,9532.5,8,4861,ACK,TCP,30.145,59.144999999999996,43.67,287
