pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
719065,1528084923.19751,0,1,1,3,2,18033,3,80,6,360,0,4,1528084948.18263,101788,24.985126,2.111827,2.113593,8.447309,0.0,4.345809,6,0,360,0,0.200119,0.200119,0.0,36000,36000,600,600,600,600,0.240143,0.240143,100,100,0.240143,0.240143,600,600,0,DoS,UDP
62293,1528081322.5432,2,2,0,1,0,33006,5,80,5,770,1,3,1528081354.58326,60816,32.040058,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.124844,0.124844,0.0,77000,77000,500,500,500,500,0.156066,0.156066,100,100,0.156055,0.156066,500,500,0,DoS,TCP
144098,1528081325.67103,2,2,0,1,0,54158,5,80,4,616,1,3,1528081350.72358,142621,25.052555,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.119748,0.119748,0.0,61600,61600,400,400,400,400,0.159741,0.159741,100,100,0.159664,0.159741,400,400,0,DoS,TCP
656283,1528084922.14658,0,1,1,3,0,28798,5,80,10,600,0,4,1528084951.34953,39006,29.202942,1.752167,1.240112,10.513002,0.0,2.732035,10,0,600,0,0.308188,0.308188,0.0,60000,60000,1000,1000,1000,1000,0.34246,0.34246,100,100,0.342431,0.34246,1000,1000,0,DoS,UDP
417010,1528081359.63173,2,2,0,1,0,27109,5,80,5,770,1,3,1528081382.03884,153381,22.407106,1.00623,1.742842,4.024921,0.0,4.024921,5,0,770,0,0.178515,0.178515,0.0,38500,38500,250,250,570,570,0.223143,0.223143,50,50,0.223144,0.219285,250,250,0,DoS,TCP
79142,1528081322.98425,2,2,0,1,1,25568,4,80,5,770,1,3,1528081354.17209,77665,31.187838,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.128255,0.128255,0.0,83540,83540,609,609,609,609,0.195269,0.195269,100,100,0.160319,0.195269,393,393,0,DoS,TCP
771149,1528084924.53679,0,1,1,3,3,41309,2,80,11,660,0,4,1528084949.63294,153872,25.096151,4.532539,0.13325,18.130157,4.374176,4.73322,11,0,660,0,0.398467,0.398467,0.0,44880,44880,748,748,972,972,0.438314,0.438314,68,68,0.438314,0.389678,748,748,0,DoS,UDP
563045,1528081397.50135,2,2,0,1,1,58359,4,80,5,676,2,1,1528081453.90917,37263,56.407822,0.011072,0.019177,0.044287,0.0,0.044287,4,1,616,60,0.070912,0.053184,0.0,67252,67252,513,513,540,540,0.0937231,0.0937231,97,97,0.0886402,0.0960405,441,441,0,DoS,TCP
362921,1528081358.24893,2,2,0,1,1,1246,4,80,5,770,1,3,1528081382.63016,99291,24.381233,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.164061,0.164061,0.0,57760,57760,430,430,622,622,0.259086,0.259086,68,68,0.205076,0.240533,179,179,0,DoS,TCP
817115,1528084926.08873,0,1,1,3,3,56657,2,80,11,660,0,4,1528084950.31046,199838,24.221733,4.372655,0.379245,17.490622,3.737255,4.729494,11,0,660,0,0.412852,0.412852,0.0,59400,59400,990,990,1080,1080,0.454138,0.454138,90,90,0.454138,0.445182,990,990,0,DoS,UDP
931480,1528084951.83142,3,6,1,3,1,19377,4,80,8,480,0,4,1528084976.86761,52046,25.036196,3.578846,0.003823,14.315383,3.573581,3.584054,8,0,480,0,0.279595,0.279595,0.0,48000,48000,800,800,800,800,0.319582,0.319582,100,100,0.319537,0.319582,800,800,0,DoS,UDP
935773,1528084951.86748,0,1,1,3,3,41750,2,80,13,780,0,4,1528084978.7258,56339,26.858318,3.585261,1.79265,17.926306,0.0,4.489732,13,0,780,0,0.446789,0.446789,0.0,30420,30420,507,507,1239,1239,0.484021,0.484021,39,39,0.484021,0.457685,507,507,0,DoS,UDP
841053,1528084927.13317,0,1,1,3,3,65096,2,80,11,660,0,4,1528084950.76265,223776,23.629482,4.240057,0.604128,16.96023,3.207095,4.732841,11,0,660,0,0.4232,0.4232,0.0,66000,66000,1100,1100,1100,1100,0.465774,0.465774,100,100,0.46552,0.465774,1100,1100,0,DoS,UDP
