ts,uid,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,resp_pkts
1538572959,Cbetl72NeXczaqQ8Lj,0.001494,90,90,0,0,2,2
1538572983,CUmQWl2ZA2hrbNtohe,5.005135,78,0,1,1,2,0
1538572993,C9oEZWtG35wx1Mqq5,0.001483,90,90,0,0,2,2
1538572993,CbhqpU1oZZyrP7PE6i,5.038625,117,142,0,0,3,2
1538573008,CGnKaI1ugpq8xlKpwe,0.110686,90,90,0,0,2,2
1538572998,C0gyyCeYCgh7PLJlk,5.004915,78,0,1,1,2,0
1538573018,CmQJAHWaKPtp846r3,0.202892,90,90,0,0,2,2
1538573008,CySgXpyp1TF2dj73g,5.005157,78,0,1,1,2,0
1538573050,CXykeR1KaPsSCWrnid,5.005165,78,0,1,1,2,0
1538573060,C6dfdy62LceJ2Ukkh,0.036972,90,90,0,0,2,2
1538573070,CIbhd33f5DIlyNu8Tj,0.04147,90,90,0,0,2,2
1538573060,Cpfro7SN96sZQBJZk,5.00515,78,0,1,1,2,0
1538573080,C2Vjta1KA4aYyKgAKk,0.025733,90,90,0,0,2,2
1538573070,ChMj184YFh4tk3BMma,5.005144,78,0,1,1,2,0
1538573126,C2DMMB4ZAzyHGnW7b9,0.001487,90,90,0,0,2,2
1538573116,CHIfjoAWhXef7QYY1,5.005151,78,0,1,1,2,0
1538573128,CuzyB5upqpk2Ygr1f,2.502582,78,0,1,1,2,0
1538573133,CaFD7t4x11rNjJyXpe,3.118731,0,0,1,2,3,0
1538573133,CuZpfKc5Vd5fvhJJ7,0.019987,39,55,0,0,1,1
1538573126,CIedhc3lt8B7BEl8Oe,5.005148,78,0,1,1,2,0
1538573136,CMZIt54K67qBcAtwe,0.001232,90,90,0,0,2,2
1538573146,CJKfFS2y18khvBjAf8,0.001488,90,90,0,0,2,2
1538573136,CwhZxG3WEiwviRxHRc,5.005149,78,0,1,1,2,0
1538573173,CZndum2TPUPQJUelGa,2.502576,78,0,1,1,2,0
1538573181,CKqnDb2yiFsahe4L1g,5.005141,78,0,1,1,2,0
1538573191,CE5AM14K3LpiPbeJf1,0.057466,90,90,0,0,2,2
1538573201,CgCTCa1zR5PdqVQUth,0.007743,90,90,0,0,2,2
1538573191,CYkw212qGL2BjV6ppf,5.00515,78,0,1,1,2,0
1538573211,Cbbx2v4wEcr6HbQIo2,0.001493,90,90,0,0,2,2
1538573201,CXZFuF4J8e7ATIwTMl,5.005403,78,0,1,1,2,0
1538573214,CwXN7r1At3rMyOD03j,2.521312,78,55,0,0,2,1
1538573255,Ce1Yl64pVeUtjkxqPi,0.001489,90,90,0,0,2,2
1538573245,CWYwsV2zBcx0B6fKa,5.002385,78,0,1,1,2,0
1538573265,CKO7ljslBYSndy4F9,0.044218,90,90,0,0,2,2
1538573255,CVLGry1VAk6g1cR0T1,5.005151,78,0,1,1,2,0
1538573275,CosMzr17mzUQxo4c5l,0.001494,90,90,0,0,2,2
1538573265,CGKLD41kc3BL5LsDS1,5.005147,78,0,1,1,2,0
1538573275,Ch6x1t3sIrR4U8fvR1,5.0054,78,0,1,1,2,0
1538573285,CQHVDA3qghmCQBg993,0.220366,90,90,0,0,2,2
1538573310,CxEnpS1oJfcpDGxy3l,0.34954,78,103,0,0,2,1
1538573315,Cy4xcJ3NT5oyf4MGO,0.054214,39,103,0,0,1,1
1538573330,CJOPVk1GKe2OQVB7h8,0.022488,45,45,0,0,1,1
1538573320,CatUH23VV3weBDAk35,5.005145,78,0,1,1,2,0
1538573330,CnPTjiHTbmMx1tRth,0.000749,45,45,0,0,1,1
1538573340,CX2Jtm4mk6FaETOuD2,0.009998,45,45,0,0,1,1
1538573330,CRTsIM1uS8RZvpNOJg,5.005147,78,0,1,1,2,0
1538573340,C5Xg4e23VLkAdQ9iU2,0.00775,45,45,0,0,1,1
1538573350,CBqC2O3Tf88viK7mIb,0.000747,45,45,0,0,1,1
1538573340,CG1sj63fhMNaCerybd,5.00515,78,0,1,1,2,0
1538573350,Cx5Tsfz0aVUgmgZD2,0.000749,45,45,0,0,1,1
1538573386,Clehcz1UJDHM9KB9X8,0.000497,45,45,0,0,1,1
1538573376,COOMtP3xZYayPt5wy,5.005145,78,0,1,1,2,0
1538573386,CvvHDe3Ashx7j0lAAb,0.000498,45,45,0,0,1,1
1538573396,CZJEJn4xdPS7QXOnSe,0.000746,45,45,0,0,1,1
1538573386,CHl4Up24scgWVRT0q5,5.005148,78,0,1,1,2,0
1538573396,C0VGY148bqekKi7S5f,0.00075,45,45,0,0,1,1
1538573088,CqohSh3JorBijEyP7f,25.039954,36,440,2,3,3,6
