ts,uid,id.orig_h,id.resp_h,id.resp_p,service,duration,orig_bytes,resp_bytes,resp_pkts,resp_ip_bytes
1538478770,CSQG794riQ4XnzTxP2,0,0,53,0,5.005151,78,0,0,0
1538478780,COTbdG2BhtGBlmf6r,0,0,53,0,0.007243,90,90,2,146
1538478790,CP48WJ2HOnLuGtr5kb,0,0,53,0,0.00225,90,90,2,146
1538478780,CeTMJi2TydRSaVdsG4,0,0,53,0,5.005154,78,0,0,0
1538478800,CZ6ne24AN9WAg9XA9d,0,0,53,0,0.002246,90,90,2,146
1538478790,CmOsCc16kkxJiJ3zF6,0,0,53,0,5.005157,78,0,0,0
1538478810,Ca9JNa4eTKtloY8z5h,0,0,53,0,0.001999,90,90,2,146
1538478800,CX4Jtj23yoifdPjkah,0,0,53,0,5.001404,78,0,0,0
1538478835,CaZS0B31T39XBqk8Nd,0,0,53,0,5.001156,78,0,0,0
1538478845,C458Uc2OYB9oRtxaAl,0,0,53,0,0.028733,90,90,2,146
1538478855,CZXIAe1s3jP7RXfDR5,0,0,53,0,0.002502,90,90,2,146
1538478845,CBFPjk2xXAZscgu3Y,0,0,53,0,5.005154,78,0,0,0
1538478865,CE1jSk2DkfDD8Rz3Ch,0,0,53,0,0.005743,90,90,2,146
1538478855,Cs1h301smX0xLliyFd,0,0,53,0,5.005153,78,0,0,0
1538478875,CrdqKU1BReCA3aPxC6,0,0,53,0,0.011986,90,90,2,146
1538478865,CbvBMw2cKyl2ARA6Aa,0,0,53,0,5.005155,78,0,0,0
1538478900,CWqJKo1SQv81a7zl4,0,0,53,0,0.030732,78,103,1,131
1538478905,CjSHdt4IqSEe8DG1Gg,0,0,53,0,0.002497,39,103,1,131
1538478920,CZjfaX6qU3nzVXkZf,0,0,53,0,0.001757,45,45,1,73
1538478910,COyJpx4Uie0VvePfz5,0,0,53,0,5.005153,78,0,0,0
1538478920,CsyChm3ahqobiKapTh,0,0,53,0,0.001501,45,45,1,73
1538478930,CynxBE3CoZB738mXye,0,0,53,0,0.000748,45,45,1,73
1538478920,CmlYIj3CToM3oOYJof,0,0,53,0,5.00515,78,0,0,0
1538478930,CrTJYJH0GCLhTOMa4,0,0,53,0,0.000999,45,45,1,73
1538478940,CexVc34PRclNpn3PC1,0,0,53,0,0.000748,45,45,1,73
1538478930,CQFqtEnpRnBaDClxg,0,0,53,0,5.010399,78,0,0,0
1538478940,C11kkg2FtDRIXkJMt7,0,0,53,0,0.000749,45,45,1,73
1538478979,COwiM3YmNPKeBNRmk,0,0,53,0,0.000748,45,45,1,73
1538478969,CMHjSm13hCZF4xCwxd,0,0,53,0,5.001403,78,0,0,0
1538478979,Cr40Gl4eXXdH7ghK34,0,0,53,0,0.000502,45,45,1,73
1538478989,CV2vtZ23AEMp82P0F1,0,0,53,0,0.001498,45,45,1,73
1538478979,CRd6uC46vSLT5BFk95,0,0,53,0,5.005153,78,0,0,0
1538478989,C7iWKQ18Ivc5fbbIf3,0,0,53,0,0.002249,45,45,1,73
1538478999,CV3EKnOgyG9JohuZb,0,0,53,0,0.405021,45,45,1,73
1538478989,CBEPca2slPkZEp9qGg,0,0,53,0,5.005402,78,0,0,0
1538478999,CtDfHNK3xKuF0SwFg,0,0,53,0,0.000751,45,45,1,73
1538479044,CaIH3S9raWH2Jm8o,0,0,53,0,0.000747,45,45,1,73
1538479034,CFK4Om4k0nebUscrL4,0,0,53,0,5.005149,78,0,0,0
1538479044,CBW72C3c9dPVNS56Yi,0,0,53,0,0.001748,45,45,1,73
1538479044,CcV7Jv20IQYofjlHJi,0,0,53,0,0.127185,39,103,1,131
1538479044,CZNIgD1sQeGGDZUfM9,0,0,53,0,0.000749,39,39,1,67
1538479054,CXulPr1Ra1OYQu0FBh,0,0,53,0,0.002493,45,45,1,73
1538479044,CKcVTj1n3d7ofvP0K,0,0,53,0,5.005155,78,0,0,0
1538479054,C6EZiN21AAI73TcNFe,0,0,53,0,0.0025,45,45,1,73
1538479077,CZU4D92EixJK4DB0Hb,0,0,53,0,2.502827,78,0,0,0
1538479104,CNgUZj2l83jIcPrLi2,0,1,443,1,3.154212,0,0,0,0
1538479102,CfLCHf205DXztmqir,0,2,53,0,1.617577,39,55,1,83
1538479110,C2ZOzL1pDUwQTtQKae,0,0,53,0,0.079702,45,45,1,73
1538479100,Ce4au64YnJTFFqFTu9,0,0,53,0,5.005151,78,0,0,0
1538479110,CdmbWP3Lusz2BZDiBh,0,0,53,0,0.005496,45,45,1,73
1538479120,C5d30A30ILpqaVRhj2,0,0,53,0,0.002996,45,45,1,73
1538479110,Cvgbqr15IZaS6QeObf,0,0,53,0,5.005152,78,0,0,0
1538479120,CzRiHvObeQrN5cZrj,0,0,53,0,0.00075,45,45,1,73
1538479044,CcNZCE10I9DD01Gbk8,0,3,123,1,52.848922,96,48,1,76
1538479144,C9U7FM2yzpBysx01Rl,0,0,53,0,2.502832,78,0,0,0
1538479171,CTV24e308oSlcnSkq6,0,0,53,0,0.001248,45,45,1,73
1538479161,CxbQCs1hCjJUdlvAh2,0,0,53,0,5.000653,78,0,0,0
1538479186,CEE7pv2tyQg07j6MTc,0,0,53,0,0.011242,45,45,1,73
1538479176,CBVxapNmYAgQNwoE3,0,0,53,0,5.005152,78,0,0,0
1538479186,CYiUE12b0rDAQrbgQ4,0,0,53,0,0.041737,45,45,1,73
1538479184,CuH7vEOZVt5SySWPl,0,0,53,0,2.502824,78,0,0,0
1538479196,C62xca4fmHu1rfgbh4,0,0,53,0,0.000999,45,45,1,73
1538479186,CaQ9Zr7tNCTdpJ1V3,0,0,53,0,5.005133,78,0,0,0
1538479196,C9e8M93rpRZ4fahhRf,0,0,53,0,0.00075,45,45,1,73
1538479227,CF49552MEZIPhghQJ3,0,1,443,1,3.089987,0,0,0,0
1538479235,CKDwfR3uIheA3RKxAd,0,0,53,0,0.01099,45,45,1,73
1538479225,CeMvDo4xj9ZdRIPDsl,0,0,53,0,5.005135,78,0,0,0
1538479224,CzEkgT25VYyTCvnc6a,0,0,53,0,2.523548,76,54,1,82
1538479250,COCdv144Sm9JbeZzVb,0,0,53,0,0.001249,45,45,1,73
1538479240,C6zl05Frb83jaBtRd,0,0,53,0,5.005135,78,0,0,0
1538479250,CCN6hNYTNCo2oxiWa,0,0,53,0,0.001248,45,45,1,73
1538479260,CJnx3W3Eb6pc3udC0k,0,0,53,0,0.000746,45,45,1,73
1538479250,ChYSdM2Axe8sivthAh,0,0,53,0,5.005136,78,0,0,0
1538479260,CGz1NO2U41HEXVg0K5,0,0,53,0,0.0005,45,45,1,73
1538479267,CtHxXv46wV7Bx8Fsx1,0,1,443,1,3.121713,0,0,0,0
1538479267,CwcBhm45ZQjh5AaKKl,0,0,53,0,0.038473,38,54,1,82
1538479233,C84q47295lVUimQgYe,0,4,123,1,1.304013,48,48,1,76
1538479301,Cz6Fat1rY1ky0RKhS4,0,0,53,0,0.002249,45,45,1,73
1538479291,CoeLPz4n3KuiejkRNk,0,0,53,0,5.000636,78,0,0,0
1538479307,CShXkb3qSX6llTCDTj,0,0,53,0,0.072703,38,54,1,82
1538479306,CCmewv4ZCh0yvbFJ01,0,0,53,0,5.005141,78,0,0,0
1538479316,C4PvKB2lqwRcUk7pei,0,0,53,0,0.00524,45,45,1,73
1538479316,CoffUlTQcTAZtR9qd,0,0,53,0,0.010747,45,45,1,73
1538479326,Cm5LoE4t0kifYQhA9k,0,0,53,0,0.000496,45,45,1,73
1538479316,CkSQAM1giTwuMbIRra,0,0,53,0,5.005142,78,0,0,0
1538479326,CpgaN93dd5MkqO7Dsg,0,0,53,0,0.0005,45,45,1,73
1538479336,CAoscm48o71RxHjf2l,0,0,53,0,0.020245,45,45,1,73
1538479326,CIOpWY13am1c6D6TOf,0,0,53,0,5.00514,78,0,0,0
1538479336,CMvCgCdxXvlb1aU54,0,0,53,0,0.017488,45,45,1,73
1538479358,CPYQ3r3otCo4Ptzi8,0,0,53,0,5.000388,78,0,0,0
1538479368,C9Y0Dn3zfu9TKHecra,0,0,53,0,0.022486,45,45,1,73
1538479383,CHDeRr4EP9HI4Kluhh,0,0,53,0,0.000499,45,45,1,73
1538479373,CZWUdh4JphnnymCHRe,0,0,53,0,5.005137,78,0,0,0
1538479383,CwGyZe3R6OIQodgRCb,0,0,53,0,0.0005,45,45,1,73
1538479393,CsPh1Q1cpRUwNlTl1,0,0,53,0,0.000734,45,45,1,73
1538479383,CwaCx71tdSnnZLAFMi,0,0,53,0,5.005138,78,0,0,0
1538479393,COgpFj1DKdaPqgelK2,0,0,53,0,0.000499,45,45,1,73
1538479403,CwpZVD2fAJBsSINCb7,0,0,53,0,0.000734,45,45,1,73
1538479393,CheSuX20Jfn3pRZfd1,0,0,53,0,5.005155,78,0,0,0
1538479403,CR5N8t1n97vyeVWtF7,0,0,53,0,0.0005,45,45,1,73
1538479433,C5W2ua44aBAKz8oCTc,0,0,53,0,0.000488,45,45,1,73
1538479423,CImZQ5kzpI6NNr5u5,0,0,53,0,5.000651,78,0,0,0
1538479433,CDf6PVU5wELXkhlT1,0,0,53,0,0.0005,45,45,1,73
1538479443,CFhBOr1vXLOqiwZa31,0,0,53,0,0.00049,45,45,1,73
1538479433,CO00rZ2ozAopmd87cf,0,0,53,0,5.00514,78,0,0,0
1538479458,ChLvyl4TdbGXpCUK8g,0,0,53,0,0.018738,45,45,1,73
1538479448,C7A1NquXFS3Eu3ZC,0,0,53,0,5.005375,78,0,0,0
1538479458,Cs5LIX1K4DayATwXjk,0,0,53,0,0.0005,45,45,1,73
1538479468,CcfbmD3VDZmpquMV02,0,0,53,0,0.000742,45,45,1,73
1538479458,CQFxQI1e6jWEzQgYra,0,0,53,0,5.005151,78,0,0,0
